com_anio;com_enero;com_febrero;com_marzo;com_abril;com_mayo;com_junio;com_julio;com_agosto;com_septiembre;com_octubre;com_noviembre;com_diciembre;com_pro_cod
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB001001
2017;0;0;0;6;0;0;0;0;0;0;0;0;0ABRB001002
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB001004
2017;0;0;0;5;0;0;0;0;0;0;0;0;0ABRB001005
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB001013
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB001015
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB001018
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB001019
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB001020
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB001026
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB001032
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB004011
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB004018
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB004020
2017;0;0;0;10;0;0;0;0;0;0;0;0;0ABRB004021
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB004022
2017;0;0;0;29;0;0;0;0;0;0;0;0;0ABRB004023
2017;0;0;0;6;0;0;0;0;0;0;0;0;0ABRB004024
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB004025
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB004027
2017;0;0;0;26;0;0;0;0;0;0;0;0;0ABRB004028
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB004030
2017;0;0;0;20;0;0;0;0;0;0;0;0;0ABRB004031
2017;0;0;0;5;0;0;0;0;0;0;0;0;0ABRB004033
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB004034
2017;0;0;0;21;0;0;0;0;0;0;0;0;0ABRB004035
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB004039
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB004042
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB004043
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB004045
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB004046
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB004050
2017;0;0;0;36;0;0;0;0;0;0;0;0;0ABRB004053
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB005005
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB005009
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB005010
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB005011
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB005014
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB005015
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB005016
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB005017
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB005018
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB007001
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007004
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB007007
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB007008
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB007009
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB007010
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB007013
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007014
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB007015
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007021
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB007022
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB007025
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007027
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007028
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007031
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007037
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB007039
2017;0;0;0;10;0;0;0;0;0;0;0;0;0ABRB007042
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007048
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007049
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007050
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007051
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB007054
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007056
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007058
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007059
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007060
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007061
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB007073
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB007074
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB007075
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB007079
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB007080
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB007081
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008005
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008012
2017;0;0;0;6;0;0;0;0;0;0;0;0;0ABRB008017
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008020
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008033
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB008034
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008035
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008036
2017;0;0;0;6;0;0;0;0;0;0;0;0;0ABRB008037
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008039
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008042
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008052
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008053
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008054
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008064
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008065
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008068
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008069
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008076
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008079
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008084
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008085
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008098
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008112
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB008113
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB008114
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB009001
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB009013
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB009017
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB009022
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB009024
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB010004
2017;0;0;0;39;0;0;0;0;0;0;0;0;0ABRB010007
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB010011
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB010013
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB010015
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB013002
2017;0;0;0;8;0;0;0;0;0;0;0;0;0ABRB014003
2017;0;0;0;7;0;0;0;0;0;0;0;0;0ABRB014004
2017;0;0;0;9;0;0;0;0;0;0;0;0;0ABRB014005
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB016001
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB019001
2017;0;0;0;12;0;0;0;0;0;0;0;0;0ABRB019002
2017;0;0;0;8;0;0;0;0;0;0;0;0;0ABRB019003
2017;0;0;0;7;0;0;0;0;0;0;0;0;0ABRB019004
2017;0;0;0;13;0;0;0;0;0;0;0;0;0ABRB019005
2017;0;0;0;5;0;0;0;0;0;0;0;0;0ABRB019006
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB019009
2017;0;0;0;6;0;0;0;0;0;0;0;0;0ABRB019010
